,city 1,city 2,city 3,city 4,city 5,city 6,city 7,city 8,city 9,city 10,city 11,city 12,city 13,city 14,city 15,city 16,city 17,city 18,city 19,city 20,city 21,city 22,city 23,city 24,city 25,city 26
city 1,0,259,173,275,279,144,275,349,316,225,187,277,274,394,282,169,194,163,170,186,47,212,222,86,245,266
city 2,270,0,334,257,101,115,264,299,197,274,209,170,198,209,333,248,262,118,175,198,223,205,37,262,267,218
city 3,173,281,0,151,358,175,208,200,170,196,236,164,267,347,251,150,138,296,263,83,171,303,244,132,230,316
city 4,275,257,151,0,255,180,306,219,240,347,304,271,345,268,100,263,268,194,146,234,279,243,275,283,79,323
city 5,279,101,358,255,0,216,331,198,267,343,251,261,299,295,326,241,234,219,109,299,310,268,138,335,226,151
city 6,144,115,175,180,327,0,301,314,238,266,250,135,239,250,201,25,177,159,291,130,173,238,78,212,101,276
city 7,275,230,208,306,350,271,0,302,294,246,242,277,127,365,334,288,166,112,291,183,254,161,193,246,326,283
city 8,349,299,200,219,198,373,302,0,294,327,364,276,269,336,319,289,206,365,293,184,313,316,336,299,298,239
city 9,316,197,170,240,267,238,338,294,0,361,214,318,321,332,140,271,198,182,323,253,305,133,160,302,229,152
city 10,225,274,196,347,343,266,246,327,361,0,169,360,256,398,271,291,334,299,365,279,185,250,283,224,367,357
city 11,187,209,236,304,251,250,252,364,214,169,0,266,280,260,204,339,275,130,278,290,234,81,172,273,298,302
city 12,277,170,164,271,261,135,277,276,318,360,266,0,171,279,312,160,297,234,212,232,230,185,207,269,212,294
city 13,274,198,267,345,317,239,127,269,321,256,280,171,0,330,372,254,235,239,208,184,227,199,161,266,324,214
city 14,397,209,347,268,295,250,368,336,332,398,260,279,330,0,344,320,213,253,227,264,348,289,172,309,324,370
city 15,282,333,251,100,326,201,334,319,140,271,204,312,372,344,0,278,338,294,236,267,235,246,300,250,100,292
city 16,169,140,150,205,349,25,288,289,263,291,275,160,254,275,226,0,202,184,301,105,198,233,103,237,126,301
city 17,194,262,138,268,234,177,166,206,198,334,275,297,235,213,338,202,0,278,125,221,241,327,255,211,278,337
city 18,163,118,296,194,322,159,112,365,182,316,130,234,239,253,294,214,278,0,333,213,210,49,81,249,273,171
city 19,170,175,263,146,109,290,291,293,323,365,278,212,208,227,236,301,125,293,0,196,201,342,212,240,203,260
city 20,186,198,83,234,305,130,183,184,253,279,290,232,184,264,267,105,221,213,196,0,139,262,161,178,167,268
city 21,47,223,171,279,310,173,254,313,305,185,234,230,227,348,235,198,241,210,201,139,0,259,251,39,200,289
city 22,212,167,303,243,297,208,161,316,133,250,81,185,199,289,246,263,327,49,359,262,259,0,130,298,260,220
city 23,222,37,244,258,138,78,193,336,160,283,172,207,161,172,279,103,255,81,212,161,251,130,0,288,179,198
city 24,86,262,132,283,335,212,246,299,302,224,273,269,266,309,250,237,211,249,240,178,39,298,288,0,239,250
city 25,245,216,230,79,226,101,326,298,229,367,298,212,324,324,100,126,278,260,203,167,200,260,179,239,0,244
city 26,266,218,316,323,151,276,283,239,152,357,301,294,214,370,292,301,337,171,260,268,289,220,198,250,244,0
